Restaurant_Name,Rating,Cuisine_Type,Cost_for_one,Delivery_time,Offers,Restaurant_url
The Waffle Co.,4.3,"Waffle, Pancake, Desserts, Shake, Beverages, Coffee",₹150 for one,35 min,₹100 OFF,https://www.zomato.com/ncr/the-waffle-co-east-patel-nagar-new-delhi/order
Giani,4.0,"Ice Cream, Desserts, Shake, Beverages",₹150 for one,16 min,No Offers,https://www.zomato.com/ncr/giani-gole-market-new-delhi/order
Chicago Pizza,3.9,"Pizza, Pasta, Fast Food, Italian, Beverages",₹150 for one,41 min,60% OFF,https://www.zomato.com/ncr/chicago-pizza-satyaniketan-new-delhi/order
Rominus Pizza And Burger,4.2,"Pizza, Fast Food, Burger, Pasta",₹200 for one,40 min,60% OFF,https://www.zomato.com/ncr/rominus-pizza-and-burger-laxmi-nagar-new-delhi/order
Vadilal Ice Creams,4.3,"Ice Cream, Desserts, Shake",₹150 for one,37 min,No Offers,https://www.zomato.com/ncr/vadilal-ice-creams-1-karol-bagh-new-delhi/order
Punjabi Rasoi,3.9,"North Indian, Mughlai, Chinese, Fast Food, Ice Cream",₹200 for one,37 min,No Offers,https://www.zomato.com/ncr/punjabi-rasoi-3-paharganj-new-delhi/order
The Burger Company,4.3,"Burger, Fast Food, Pizza, Desserts, Shake, Beverages",₹200 for one,N/A,No Offers,https://www.zomato.com/ncr/the-burger-company-kamla-nagar-new-delhi/order
Flavours,3.9,"North Indian, Chinese, South Indian",₹200 for one,37 min,No Offers,https://www.zomato.com/ncr/flavours-paharganj-new-delhi/order
Wraps Kathi Rolls,4.1,"Rolls, Wraps, Momos, Shawarma, Biryani",₹150 for one,25 min,No Offers,https://www.zomato.com/ncr/wraps-kathi-rolls-1-karol-bagh-new-delhi/order
Theobroma,4.5,"Bakery, Desserts, Beverages, Sandwich",₹150 for one,19 min,No Offers,https://www.zomato.com/ncr/theobroma-connaught-place-new-delhi/order
Ghee and Turmeric,4.4,"North Indian, Mughlai, Biryani",₹300 for one,23 min,40% OFF,https://www.zomato.com/ncr/ghee-and-turmeric-connaught-place-new-delhi/order
Mansi Chinese Food,3.8,"Chinese, Italian, South Indian, Pasta, Momos, Pizza",₹150 for one,52 min,No Offers,https://www.zomato.com/ncr/mansi-chinese-food-pitampura-new-delhi/order
Sweet Truth - Cake and Desserts,4.3,"Desserts, Bakery, Ice Cream",₹200 for one,37 min,20% OFF,https://www.zomato.com/ncr/sweet-truth-cake-and-desserts-rajendra-place-new-delhi/order
Baskin Robbins - Ice Cream Desserts,4.4,"Ice Cream, Desserts, Beverages",₹200 for one,15 min,₹100 OFF,https://www.zomato.com/ncr/baskin-robbins-ice-cream-desserts-connaught-place-new-delhi/order
MOJO Pizza - 2X Toppings,4.5,"Pizza, Fast Food, Desserts, Beverages",₹200 for one,26 min,₹200 OFF,https://www.zomato.com/ncr/mojo-pizza-2x-toppings-paharganj-new-delhi/order
Parantha Express,4.2,"North Indian, Fast Food, Beverages",₹150 for one,34 min,₹125 OFF,https://www.zomato.com/ncr/parantha-express-rajinder-nagar-new-delhi/order
Pizza Galleria,4.1,"Pizza, Fast Food, Beverages",₹200 for one,N/A,Free Choco Lava,https://www.zomato.com/ncr/pizza-galleria-1-kamla-nagar-new-delhi/order
NH1 Bowls - Highway To North,4.5,North Indian,₹100 for one,22 min,₹200 OFF,https://www.zomato.com/ncr/nh1-bowls-highway-to-north-karol-bagh-new-delhi/order
Sandoz,4.1,"North Indian, Chinese, Mughlai, Seafood, Rolls",₹600 for one,22 min,No Offers,https://www.zomato.com/ncr/sandoz-connaught-place-new-delhi/order
Oven Story Pizza - Standout Toppings,4.2,"Pizza, Italian, Pasta",₹200 for one,28 min,₹150 OFF,https://www.zomato.com/ncr/oven-story-pizza-standout-toppings-connaught-place-new-delhi/order
Cheesecake & Co.,4.5,Bakery,₹200 for one,22 min,₹100 OFF,https://www.zomato.com/ncr/cheesecake-co-asaf-ali-road-new-delhi/order
FreshMenu,4.1,"Continental, Oriental, Asian, Chinese, Healthy Food, Sandwich, Desserts",₹200 for one,41 min,No Offers,https://www.zomato.com/ncr/freshmenu-pandav-nagar-new-delhi/order
Keventers - Milkshakes & Desserts,4.3,"Shake, Beverages, Desserts",₹150 for one,N/A,50% OFF,https://www.zomato.com/ncr/keventers-milkshakes-desserts-kamla-nagar-new-delhi/order
CakeZone Patisserie,4.2,"Bakery, Desserts",₹100 for one,42 min,No Offers,https://www.zomato.com/ncr/cakezone-patisserie-karol-bagh-new-delhi/order
Sardar G Malai Chaap Junction,4.4,"North Indian, Rolls, Momos",₹200 for one,32 min,Flat 20% OFF,https://www.zomato.com/ncr/sardar-g-malai-chaap-junction-west-patel-nagar-new-delhi/order
Biryani Badshah,4.3,"Biryani, Hyderabadi, Andhra, North Indian, Mughlai",₹200 for one,19 min,₹125 OFF,https://www.zomato.com/ncr/biryani-badshah-connaught-place-new-delhi/order
The Yellow Bowl,4.2,"Chinese, North Indian, Momos, Rolls, Fast Food, Sichuan",₹150 for one,38 min,40% OFF,https://www.zomato.com/ncr/the-yellow-bowl-daryaganj-new-delhi/order
Olio - The Wood Fired Pizzeria,4.3,"Pizza, Italian, Fast Food, Beverages",₹200 for one,36 min,50% OFF,https://www.zomato.com/ncr/olio-the-wood-fired-pizzeria-karol-bagh-new-delhi/order
